# merged; npoints=32363523859 degenerate=7740416 ambig=0
k,ff1,ff2,ff3,ff4,ff5,ff6,ff7,ff8,ff9,ff10,ff11,ff12,ff13,ff14,ff15,ff16,none
767,9713219,2658716,675114,168250,41577,10399,2564,637,185,44,13,5,0,0,0,0,0
768,9710305,2658411,676343,168787,41596,10422,2578,631,185,43,15,4,0,0,0,0,0
769,9705161,2660324,676913,169318,41840,10573,2611,673,209,47,15,5,0,0,0,0,0
770,9705751,2659380,676509,168780,41733,10522,2616,689,202,52,18,4,0,0,0,0,0
771,9702018,2660549,677401,168947,41706,10436,2573,692,218,49,18,7,0,0,0,0,0
772,9699107,2661274,677435,169355,41803,10549,2654,670,211,52,17,6,0,0,0,0,0
773,9693014,2662803,679275,170240,42123,10569,2655,687,224,45,15,5,0,0,0,0,0
774,9693475,2661634,678532,169919,42245,10632,2681,678,210,43,14,6,0,0,0,0,0
775,9689778,2662719,679109,170426,42260,10600,2647,664,211,47,12,5,0,0,0,0,0
776,9685653,2664270,679828,170663,42265,10650,2618,676,215,54,19,8,0,0,0,0,0
777,9687876,2660565,679796,170643,42268,10613,2633,688,217,55,21,8,0,0,0,0,0
778,9682287,2663913,680384,170752,42334,10586,2611,673,211,53,19,8,0,0,0,0,0
779,9678133,2665065,681077,171159,42561,10674,2635,693,217,55,19,6,0,0,0,0,0
780,9674074,2666391,681667,171625,42671,10673,2673,722,220,53,19,6,0,0,0,0,0
781,9673072,2665564,682020,171756,42666,10651,2616,684,203,49,16,8,0,0,0,0,0
782,9667739,2667133,683213,172438,42862,10705,2626,692,212,49,17,8,0,0,0,0,0
783,9665200,2667786,683652,172293,42860,10673,2609,690,226,54,18,8,0,0,0,0,0
784,9661465,2668403,684450,172811,42964,10867,2672,698,224,52,18,7,0,0,0,0,0
785,9661066,2667346,684290,172824,42987,10774,2685,714,231,51,16,8,0,0,0,0,0
786,9658323,2667296,685269,173212,42937,10776,2670,705,218,52,15,9,1,0,0,0,0
787,9653174,2669749,686002,173362,43049,10798,2686,724,238,52,15,7,1,0,0,0,0
788,9654689,2668013,684644,173267,43181,10865,2700,710,234,50,17,6,1,0,0,0,0
789,9649458,2669588,686218,173731,43208,10828,2711,694,212,47,16,10,2,0,0,0,0
790,9646622,2670291,686786,173683,43129,10882,2736,722,225,53,15,9,2,0,0,0,0
791,9641723,2672779,686971,174274,43330,10840,2742,695,202,50,16,8,2,0,0,0,0
792,9641532,2671276,687147,174071,43372,10932,2738,724,225,52,16,9,1,0,0,0,0
793,9637069,2671844,688326,174710,43788,11007,2731,731,220,55,16,9,1,0,0,0,0
794,9633477,2673069,689009,174728,43726,11085,2796,727,214,50,17,8,3,0,0,0,0
795,9634727,2670142,689026,174819,43755,11104,2748,721,207,50,18,9,3,0,0,0,0
796,9628749,2673494,690012,174874,43820,11055,2750,719,206,55,20,11,2,0,0,0,0
797,9627549,2673340,689865,174880,43696,11025,2805,744,209,52,18,10,3,0,0,0,0
798,9622652,2674938,690889,175265,43960,11097,2767,724,208,49,14,8,2,0,0,0,0
799,9623666,2672478,690907,174996,44000,11096,2795,710,204,51,17,12,4,0,0,0,0
800,9619391,2674423,691496,175229,43973,11089,2752,708,200,49,15,10,2,0,0,0,0
801,9616081,2674180,692382,176156,44109,11118,2777,736,210,62,18,10,3,0,0,0,0
802,9611663,2675505,693199,176398,44408,11193,2773,729,212,58,15,8,2,0,0,0,0
803,9611315,2675032,692796,176168,44311,11217,2749,729,202,59,17,9,3,0,0,0,0
804,9608082,2675342,693557,176442,44478,11244,2779,750,216,61,20,11,3,0,0,0,0
805,9603089,2677218,694666,176835,44482,11289,2823,731,202,59,18,7,2,0,0,0,0
806,9604097,2675290,693879,176932,44469,11227,2811,725,215,71,20,10,4,0,0,0,0
807,9601122,2676416,694499,176784,44379,11273,2744,700,218,66,16,6,2,0,0,0,0
808,9596680,2678035,695179,177234,44420,11244,2756,739,217,64,16,5,2,0,0,0,0
809,9592538,2678422,696228,177832,44778,11306,2787,727,202,64,17,5,1,0,0,0,0
810,9592346,2678140,695394,177654,44685,11312,2795,711,216,62,17,6,2,0,0,0,0
811,9588065,2679116,696506,177903,44875,11386,2843,746,223,71,19,5,1,0,0,0,0
812,9586109,2680337,696304,177911,44539,11185,2759,712,208,68,22,8,2,0,0,0,0
813,9586279,2677869,696447,177985,44874,11298,2767,731,214,66,18,7,1,0,0,0,0
814,9581804,2679882,696571,178351,45036,11395,2820,750,219,74,21,9,2,0,0,0,0
815,9578583,2680050,697599,178666,45115,11417,2813,749,211,67,20,7,1,0,0,0,0
816,9574746,2681860,698013,178699,45014,11456,2814,731,219,68,20,7,2,0,0,0,0
817,9574200,2681124,697851,178504,44933,11490,2827,742,221,67,20,6,1,0,0,0,0
818,9569307,2681903,699467,179144,45129,11504,2847,759,224,67,20,7,2,0,0,0,0
819,9567490,2682646,699234,179007,45048,11514,2841,744,225,70,20,6,1,0,0,0,0
820,9563491,2682070,701340,179509,45230,11564,2857,759,217,69,25,9,2,0,0,0,0
821,9562802,2682820,699870,179359,45154,11537,2850,761,220,72,24,7,1,0,0,0,0
822,9559170,2683121,701291,179623,45316,11512,2824,749,213,69,24,8,2,0,0,0,0
823,9555980,2684062,701391,179873,45429,11555,2816,769,203,67,24,7,1,0,0,0,0
824,9555869,2682788,701313,179910,45306,11525,2872,762,207,64,21,8,2,0,0,0,0
825,9553707,2683885,700869,179722,45282,11531,2856,768,211,63,22,8,1,0,0,0,0
826,9551769,2683139,701685,179837,45340,11592,2870,782,212,66,20,6,2,0,0,0,0
827,9545052,2686470,703180,180034,45551,11552,2855,756,208,60,19,6,1,0,0,0,0
828,9546270,2684376,702467,179926,45454,11581,2865,751,210,65,22,7,2,0,0,0,0
829,9545737,2683580,702476,179645,45477,11524,2849,761,211,56,18,7,1,0,0,0,0
830,9539280,2685804,703873,180576,45750,11557,2848,756,201,60,19,7,2,0,0,0,0
831,9538761,2684814,703469,180772,45769,11601,2883,754,204,58,20,6,1,0,0,0,0
832,9533485,2686915,704723,181052,45850,11537,2852,757,212,59,24,9,1,0,0,0,0
833,9531727,2687352,704525,180938,45712,11578,2893,785,224,66,20,7,1,0,0,0,0
834,9527071,2688981,704971,181470,46041,11651,2888,782,215,68,21,7,1,0,0,0,0
835,9526558,2687906,704892,181477,46040,11670,2877,767,213,61,21,8,2,0,0,0,0
836,9522492,2689273,705773,181581,46077,11673,2862,768,219,61,17,7,1,0,0,0,0
837,9520123,2689212,706166,181908,46021,11679,2884,773,239,68,21,8,2,0,0,0,0
838,9522856,2686014,705170,181539,46112,11761,2850,761,230,66,22,8,1,0,0,0,0
839,9517390,2688954,706082,181730,45937,11711,2883,778,236,67,20,7,2,0,0,0,0
840,9513569,2689181,707254,182256,46134,11782,2875,780,229,70,18,7,1,0,0,0,0
841,9509479,2691067,707498,182483,46095,11807,2888,758,230,67,21,9,1,0,0,0,0
842,9509474,2689888,707265,182268,46110,11894,2831,733,228,67,21,9,2,0,0,0,0
843,9504537,2691113,708718,182685,46224,11867,2869,757,228,66,19,7,1,0,0,0,0
844,9501569,2691368,709211,183028,46301,11908,2907,773,235,75,21,7,2,0,0,0,0
845,9498948,2691782,709445,183281,46347,11920,2893,775,233,76,21,7,1,0,0,0,0
846,9497521,2691927,709287,183100,46421,11871,2875,759,220,69,19,9,2,0,0,0,0
847,9495953,2691481,709652,183056,46349,11847,2875,772,229,69,19,9,3,0,0,0,0
848,9491153,2693048,710542,183475,46561,11927,2887,766,239,73,21,11,3,0,0,0,0
849,9491862,2691420,709505,183697,46551,11957,2918,768,234,75,21,11,3,0,0,0,0
850,9488198,2692581,710500,183691,46427,11873,2883,747,230,73,24,11,2,0,0,0,0
851,9484535,2693759,710698,183975,46565,11963,2942,788,229,79,23,9,3,0,0,0,0
852,9479954,2694706,711988,184408,46787,11999,2930,793,228,77,25,10,4,0,0,0,0
853,9480180,2693021,711594,184447,46951,12007,2925,772,231,77,23,7,2,0,0,0,0
854,9475645,2694741,712395,184667,47022,12005,2918,806,243,78,23,8,2,0,0,0,0
855,9472844,2695778,712712,184460,47085,11999,2879,757,229,71,27,11,4,0,0,0,0
856,9475720,2691655,712257,184642,46972,11948,2851,769,225,72,24,9,2,0,0,0,0
857,9468179,2694650,713942,185248,47322,12035,2903,791,241,77,24,9,3,0,0,0,0
858,9465733,2695834,713511,185083,47237,12140,2988,805,241,78,27,10,2,0,0,0,0
859,9460971,2695666,715041,186081,47676,12273,3045,837,241,72,28,8,3,0,0,0,0
860,9461386,2694449,714601,185784,47586,12263,2998,800,247,79,31,11,2,0,0,0,0
861,9457256,2696928,715062,185820,47424,12084,2959,764,224,67,22,8,1,0,0,0,0
862,9454852,2696937,715569,185748,47518,12158,2991,768,229,65,20,8,1,0,0,0,0
863,9449717,2697652,716847,186577,47849,12313,3001,789,229,65,18,8,2,0,0,0,0
864,9449604,2696416,716655,186506,47846,12304,3021,796,225,64,21,10,1,0,0,0,0
865,9446239,2697123,717164,186859,47881,12336,2988,774,219,63,20,8,1,0,0,0,0
866,9442987,2698588,717433,186514,47896,12396,3037,810,228,65,18,7,2,0,0,0,0
867,9444221,2696501,716465,186647,47873,12323,3061,808,233,70,22,9,1,0,0,0,0
868,9438562,2698591,718556,186690,47761,12243,3028,805,222,64,20,7,1,0,0,0,0
869,9435990,2698435,718414,187272,48067,12386,3050,795,227,70,24,11,2,0,0,0,0
870,9432465,2699937,718800,187330,48087,12312,3052,804,225,64,18,6,1,0,0,0,0
871,9431844,2698742,718502,187563,48034,12426,3067,806,239,70,18,8,1,0,0,0,0
872,9427465,2700609,719156,187518,48230,12425,3030,774,228,71,20,9,2,0,0,0,0
873,9423251,2701294,720446,188002,48267,12399,3048,806,239,79,18,8,1,0,0,0,0
874,9425132,2698798,719605,187686,48333,12439,3040,801,230,71,19,11,1,0,0,0,0
875,9420019,2701115,719932,188314,48429,12412,3046,806,234,76,20,10,2,0,0,0,0
876,9415346,2701725,721388,188705,48691,12518,3080,815,243,80,24,11,1,0,0,0,0
877,9411929,2702938,721482,188917,48740,12533,3132,830,246,75,21,10,1,0,0,0,0
878,9411864,2701507,721334,188859,48711,12573,3088,806,236,77,26,11,2,0,0,0,0
879,9407712,2702401,722271,189295,48704,12637,3123,832,248,84,26,13,2,0,0,0,0
880,9405014,2702928,722356,189418,48876,12699,3131,838,247,75,24,9,1,0,0,0,0
881,9401554,2703137,723464,189843,48865,12695,3154,843,243,70,19,11,1,0,0,0,0
882,9401121,2702046,723277,189896,48823,12725,3131,822,245,72,21,13,2,0,0,0,0
883,9398223,2703866,722878,189670,48848,12708,3081,810,230,65,17,8,1,0,0,0,0
884,9394498,2704792,723289,190017,48859,12784,3185,828,236,70,23,11,1,0,0,0,0
885,9395593,2702742,722565,189730,48916,12849,3171,833,256,76,27,14,2,0,0,0,0
886,9393149,2703282,723024,189710,48863,12736,3186,826,243,70,23,11,2,0,0,0,0
887,9388836,2704288,724330,190057,48796,12664,3188,825,248,70,21,9,1,0,0,0,0
888,9385812,2705068,724439,190050,48896,12755,3242,856,253,70,23,11,1,0,0,0,0
889,9384236,2704635,724394,190268,48971,12859,3275,850,243,77,26,14,2,0,0,0,0
890,9382191,2704622,724651,190439,48874,12747,3249,847,240,74,22,10,1,0,0,0,0
891,9377983,2706245,724781,190711,49226,12873,3266,860,255,73,21,7,1,0,0,0,0
892,9377500,2703793,725208,191014,49389,12995,3283,870,256,71,22,11,1,0,0,0,0
893,9372973,2705744,725878,191295,49400,12942,3278,879,249,68,24,10,2,0,0,0,0
894,9370811,2705800,725947,191374,49527,12961,3273,836,230,65,21,8,1,0,0,0,0
895,9367545,2706442,726410,191530,49637,12975,3346,868,255,74,24,11,1,0,0,0,0
896,9366988,2705656,726116,191615,49633,12992,3242,838,239,68,17,8,1,0,0,0,0
897,9363300,2706127,726790,191930,49766,13109,3304,850,244,73,21,10,2,0,0,0,0
898,9359046,2707021,728176,192247,49676,13041,3321,844,246,73,17,9,1,0,0,0,0
899,9359409,2705011,727634,192383,49826,13159,3323,872,254,76,20,10,1,0,0,0,0
900,9356603,2706301,727494,192288,49820,13176,3320,861,252,79,21,10,1,0,0,0,0
901,9351981,2707667,728837,192428,49946,13117,3290,850,250,71,17,8,2,0,0,0,0
902,9349140,2708408,728751,192534,50070,13221,3316,848,251,79,19,9,1,0,0,0,0
903,9349080,2706817,728827,192450,50027,13176,3263,843,244,75,19,9,1,0,0,0,0
904,9345838,2706737,729482,193067,50157,13206,3312,868,249,81,20,11,1,0,0,0,0
905,9343269,2707677,729504,192966,50072,13242,3308,856,246,69,18,10,2,0,0,0,0
906,9339670,2708059,730159,193458,50269,13284,3313,878,262,76,20,12,2,0,0,0,0
907,9338392,2708260,729763,193257,50252,13228,3294,855,244,71,18,10,1,0,0,0,0
908,9336930,2708093,729728,193296,50132,13151,3261,854,256,71,18,11,1,0,0,0,0
909,9332544,2709316,730504,193563,50222,13261,3308,874,259,70,17,8,1,0,0,0,0
910,9331990,2707642,730296,193903,50334,13313,3339,886,267,82,17,11,2,0,0,0,0
911,9327011,2709683,731710,193823,50245,13373,3322,845,255,74,18,9,2,0,0,0,0
912,9324209,2709686,732042,194166,50549,13380,3306,857,264,78,18,12,1,0,0,0,0
913,9320431,2710886,732350,194589,50595,13328,3271,849,264,74,19,11,1,0,0,0,0
914,9319936,2709570,732385,194418,50688,13371,3312,861,265,72,18,11,1,0,0,0,0
915,9315957,2709718,733433,195213,50869,13362,3298,867,268,70,18,12,2,0,0,0,0
916,9313673,2710743,733286,194834,50827,13330,3271,866,260,71,19,13,2,0,0,0,0
917,9315460,2707908,732980,194493,50740,13343,3312,867,255,74,17,12,1,0,0,0,0
918,9308705,2710557,734298,195070,50902,13418,3345,884,257,69,15,11,1,0,0,0,0
919,9306218,2710242,734458,195498,51199,13515,3402,886,265,77,18,12,1,0,0,0,0
920,9302420,2711691,735007,195566,50970,13530,3442,924,269,71,18,11,2,0,0,0,0
921,9301651,2710763,734597,195644,51182,13558,3413,905,268,66,17,11,2,0,0,0,0
922,9298284,2711018,735685,195950,51165,13494,3430,930,281,66,16,10,1,0,0,0,0
923,9296336,2711544,735441,195644,51156,13556,3427,912,274,71,19,11,1,0,0,0,0
924,9292592,2711865,736350,196183,51272,13514,3446,946,279,74,16,11,1,0,0,0,0
925,9292969,2711532,735382,195618,51066,13526,3409,899,267,70,18,12,2,0,0,0,0
926,9289488,2711697,736359,195956,51174,13554,3442,926,281,68,18,12,2,0,0,0,0
927,9286196,2712349,736793,196023,51346,13610,3433,930,283,68,16,11,2,0,0,0,0
928,9285856,2711109,736560,196102,51189,13582,3428,942,280,75,19,12,1,0,0,0,0
929,9281671,2711755,737449,196519,51521,13622,3424,936,281,75,19,13,1,0,0,0,0
930,9279028,2712893,737298,196379,51384,13681,3425,958,293,77,20,15,1,0,0,0,0
931,9274757,2712922,738465,197202,51727,13713,3463,963,285,75,19,14,2,0,0,0,0
932,9274284,2712977,738196,196589,51393,13535,3431,949,285,74,21,15,2,0,0,0,0
933,9271246,2713619,738259,196900,51571,13552,3388,947,294,74,19,13,2,0,0,0,0
934,9268461,2712762,739153,197335,51845,13672,3421,963,289,74,18,13,1,0,0,0,0
935,9268268,2711186,739190,197144,51815,13693,3462,988,300,80,20,13,1,0,0,0,0
936,9262766,2713308,739967,197571,52051,13722,3539,1009,301,80,23,15,1,0,0,0,0
937,9260808,2713784,739917,197543,51832,13765,3503,987,306,82,19,10,1,0,0,0,0
938,9257935,2714098,740195,197793,51983,13776,3474,984,298,79,19,12,2,0,0,0,0
939,9257343,2712699,740187,197694,52134,13729,3502,1009,300,82,21,14,2,0,0,0,0
940,9253045,2713720,741026,198096,52151,13829,3541,1009,301,77,19,12,2,0,0,0,0
941,9250369,2713854,741406,198236,52359,13916,3518,1008,300,76,21,16,1,0,0,0,0
942,9247321,2713102,742463,198888,52371,13990,3573,1020,286,67,21,14,1,0,0,0,0
943,9245943,2713294,742161,198639,52352,13885,3524,995,299,77,21,14,1,0,0,0,0
944,9243812,2713992,741945,198664,52227,13799,3551,1025,297,71,20,14,1,0,0,0,0
945,9240009,2714573,742590,198948,52373,13874,3610,1035,296,78,20,14,1,0,0,0,0
946,9238965,2713281,742785,199193,52428,13945,3610,1029,318,83,23,14,2,0,0,0,0
947,9235203,2714525,743219,199347,52400,13908,3620,1022,303,75,21,13,2,0,0,0,0
948,9231920,2714200,743970,199830,52826,14054,3635,1030,312,75,24,14,2,0,0,0,0
949,9228147,2715649,744314,199963,52720,13990,3640,1026,303,74,21,12,1,0,0,0,0
950,9228398,2714285,744174,199567,52645,13956,3598,1031,300,75,22,13,1,0,0,0,0
951,9221688,2716047,746275,200346,52719,14031,3599,1039,310,81,22,12,2,1,0,0,0
952,9220948,2715977,745299,200100,52857,13940,3602,1034,318,77,25,14,3,2,0,0,0
953,9220735,2713858,745369,200260,52976,14034,3648,1050,330,76,22,15,3,2,0,0,0
954,9216409,2715593,745811,200450,53010,14154,3650,1013,310,75,25,15,2,1,0,0,0
955,9214527,2715856,745767,200448,52799,14033,3634,1013,311,80,27,16,3,1,0,0,0
956,9210003,2716663,746726,200811,53194,14107,3639,1005,316,83,29,16,3,1,0,0,0
957,9209492,2715257,746503,200910,53223,14175,3661,1052,332,86,27,14,3,1,0,0,0
958,9206536,2716428,746653,200843,53203,14115,3599,1022,325,88,32,16,4,2,0,0,0
959,9203602,2716116,747426,201063,53484,14089,3678,1069,325,85,28,16,3,2,0,0,0
960,9205662,2713308,746665,200862,53288,14108,3697,1046,330,87,26,13,2,1,0,0,0
961,9198672,2716500,747853,201615,53251,14106,3668,1030,329,90,28,15,2,1,0,0,0
962,9196225,2716288,748274,201720,53392,14225,3663,1010,313,88,24,12,2,1,0,0,0
963,9191927,2718053,748653,201844,53406,14278,3677,1025,323,90,29,14,3,2,0,0,0
964,9191184,2716123,748480,202366,53677,14339,3761,1044,318,91,26,12,2,1,0,0,0
965,9186703,2717839,749448,202345,53679,14299,3714,1013,322,86,24,10,2,1,0,0,0
966,9184918,2718109,749117,202303,53577,14302,3733,1019,326,88,25,12,2,1,0,0,0
967,9181321,2717976,750256,202809,53698,14301,3712,1015,337,94,29,15,4,2,0,0,0
968,9180394,2717745,749584,202419,53698,14491,3747,1048,335,90,28,12,3,1,0,0,0
969,9176724,2718082,750270,202948,53926,14447,3777,1030,336,86,21,9,3,1,0,0,0
970,9172596,2719416,751320,202940,53859,14436,3760,1042,329,89,24,10,4,2,0,0,0
971,9173600,2716901,750596,203086,53924,14503,3773,1041,329,89,25,11,3,1,0,0,0
972,9169609,2718302,751047,203027,54096,14484,3780,1060,329,92,26,11,3,1,0,0,0
973,9166223,2719215,751558,203286,54064,14431,3724,1034,299,85,27,12,3,2,0,0,0
974,9162493,2719786,751816,203722,54407,14592,3783,1040,309,89,26,11,2,1,0,0,0
975,9160891,2719992,751951,203358,54175,14431,3765,1036,314,83,22,11,2,1,0,0,0
976,9157954,2720244,752326,203779,54213,14436,3750,1055,311,90,24,11,3,2,0,0,0
977,9153925,2720645,753223,204244,54369,14563,3755,1034,310,83,19,8,2,1,0,0,0
978,9156344,2718051,752426,203577,54160,14505,3736,1048,309,83,16,8,2,1,0,0,0
979,9151721,2719322,752557,204247,54497,14610,3815,1083,321,85,19,8,3,2,0,0,0
980,9148467,2720581,752837,204310,54404,14528,3752,1068,319,81,17,9,2,1,0,0,0
981,9145548,2720521,753774,204317,54381,14518,3787,1091,310,81,16,10,3,2,0,0,0
982,9144442,2719758,753304,204455,54596,14655,3811,1074,314,76,18,9,2,1,0,0,0
983,9140865,2720657,753998,204388,54605,14583,3771,1094,329,81,20,10,3,2,0,0,0
984,9137620,2721202,754299,204633,54757,14738,3801,1044,313,79,21,10,2,1,1,1,1
985,9135089,2720829,754452,205032,54976,14860,3842,1089,340,82,18,9,2,1,1,1,1
986,9134533,2720856,753534,204579,54883,14747,3850,1079,332,90,24,13,4,2,2,2,2
987,9132883,2720328,754118,204704,54606,14647,3810,1043,329,90,23,9,3,1,1,1,1
988,9129590,2720771,754554,204916,54777,14773,3825,1049,322,78,18,9,4,2,2,2,2
989,9128981,2720271,754047,204740,54731,14686,3792,1054,327,82,24,12,3,1,1,1,1
990,9125638,2719950,755279,205027,54802,14692,3791,1057,332,85,25,13,4,2,2,2,2
991,9123051,2721352,754805,204729,54640,14694,3820,1085,337,99,29,15,3,1,1,1,1
992,9120069,2721648,755240,205252,54619,14575,3789,1044,333,87,24,14,4,2,2,2,2
993,9120205,2720275,754706,205011,54633,14592,3822,1051,331,86,22,12,3,1,1,1,1
994,9116142,2720467,755800,205379,54916,14677,3832,1092,339,93,26,15,4,2,2,2,2
995,9114056,2721276,755336,205389,54828,14583,3821,1066,332,91,21,12,3,1,1,1,1
996,9114041,2718399,755853,205354,54965,14790,3882,1085,336,88,23,12,3,1,1,1,1
997,9109620,2719917,756164,205994,54931,14748,3897,1110,331,84,22,13,4,2,2,2,2
998,9105877,2720556,757139,206200,54949,14743,3823,1084,333,92,24,14,3,1,1,1,1
999,9103120,2721840,757155,205734,54883,14684,3842,1091,340,89,26,14,4,2,2,2,2
1000,9102130,2720283,756870,206200,55107,14790,3870,1108,327,83,22,11,3,1,1,1,1
1001,9098158,2720974,757642,206504,55291,14840,3880,1085,327,83,23,14,3,2,2,2,2
1002,9095287,2721034,758285,206807,55193,14845,3924,1094,321,80,21,11,1,1,1,1,1
1003,9091464,2721557,759015,207242,55394,14866,3887,1094,323,81,23,13,1,1,1,1,1
1004,9090421,2721181,758729,207004,55302,14819,3901,1090,335,79,22,11,2,2,2,2,2
1005,9087834,2720974,759115,207385,55324,14835,3875,1059,320,79,18,10,1,1,1,1,1
1006,9084506,2721375,759830,207526,55354,14892,3876,1071,326,72,19,9,1,1,1,1,1
1007,9084417,2720712,759101,207252,55231,14869,3842,1074,327,74,22,13,2,2,2,2,2
1008,9081210,2721700,759309,207043,55242,14894,3885,1093,339,86,24,14,1,1,1,1,1
1009,9078148,2721393,759932,207491,55462,14947,3931,1088,318,77,20,11,1,1,1,1,1
1010,9074992,2722319,760381,207381,55355,15001,3936,1084,330,76,21,11,2,2,2,2,2
1011,9074643,2720663,759971,207537,55525,14993,3904,1076,345,81,17,9,1,1,1,1,1
1012,9070747,2721990,760390,207920,55478,14920,3914,1077,324,76,22,12,1,1,1,1,1
1013,9068789,2722042,760234,207785,55458,15005,3912,1083,329,82,22,13,2,2,2,2,2
1014,9067632,2719920,761033,208144,55578,15000,3959,1099,326,81,21,12,1,1,1,1,1
1015,9062701,2721602,761575,208599,55643,15099,3961,1086,334,81,23,12,1,1,1,1,1
1016,9060920,2722007,761710,208165,55530,14981,3941,1084,322,78,24,14,2,2,2,2,2
1017,9056721,2722627,762496,208485,55727,15023,3984,1096,341,87,27,17,2,2,2,2,2
1018,9055578,2722180,762025,208559,55851,15031,3967,1079,336,80,24,13,1,1,1,1,1
1019,9051603,2723331,762094,208977,56030,15068,3978,1081,325,74,21,12,1,1,1,1,1
1020,9048870,2722600,763157,209401,55987,15046,3983,1097,328,75,24,12,2,2,2,2,2
1021,9051503,2720360,761734,208780,55772,15040,3914,1079,329,86,28,14,2,2,2,2,2
1022,9045023,2722326,763050,209299,56103,15116,4004,1105,340,88,27,13,1,1,1,1,1
1023,9042852,2721688,763342,209650,56239,15160,3979,1087,333,81,26,12,1,1,1,1,1
1024,9038481,2723178,764122,209802,56040,15245,4030,1110,345,85,24,13,2,2,2,2,2
1025,9038046,2722179,763741,209731,56029,15184,4010,1095,337,88,26,13,2,2,2,2,2
1026,9034928,2722288,764017,209947,56312,15250,4035,1116,334,85,25,11,1,1,1,1,1
1027,9032530,2722234,764399,209771,56475,15267,4035,1082,329,78,21,11,1,1,1,1,1
1028,9029615,2722454,764832,210027,56335,15311,4068,1120,340,86,24,13,1,1,1,1,1
1029,9028898,2721702,764458,210095,56287,15210,4017,1091,330,88,24,10,1,1,1,1,1
1030,9026395,2722011,764222,210194,56394,15262,4122,1112,341,89,26,12,2,2,2,2,2
1031,9022327,2721985,765476,210860,56529,15269,4120,1109,344,87,28,12,2,2,2,2,2
1032,9021904,2720162,765562,210909,56621,15245,4099,1132,352,84,27,10,1,1,1,1,1
1033,9018714,2722109,764957,210669,56690,15296,4077,1089,331,84,27,12,1,1,1,1,1
1034,9015250,2722109,765749,210841,56886,15424,4156,1107,340,90,29,12,1,1,1,1,1
1035,9011464,2723028,766150,211477,56861,15347,4045,1094,327,89,28,12,1,1,1,1,1
1036,9010676,2721448,766248,211349,56999,15460,4100,1100,329,91,29,13,1,1,1,1,1
1037,9007718,2722239,766323,211462,57002,15362,4088,1082,323,99,34,15,2,2,2,2,2
1038,9004305,2722170,766896,211847,57190,15455,4166,1127,348,97,33,14,2,2,2,2,2
1039,9004712,2720310,766972,211492,56939,15412,4144,1099,324,90,33,13,2,2,2,2,2
1040,9000845,2722178,766705,211300,57207,15499,4168,1107,320,76,25,10,3,4,4,2,2
1041,8998613,2722013,766664,211711,57237,15473,4163,1112,327,91,30,12,4,4,4,2,2
1042,8993670,2723108,767511,212370,57507,15566,4175,1092,326,86,27,11,3,3,3,1,1
1043,8993312,2722154,767283,212060,57319,15461,4158,1097,332,88,29,11,3,3,3,1,1
1044,8989579,2721967,767963,212636,57600,15593,4202,1126,348,94,31,11,3,3,3,1,1
1045,8987272,2722599,768241,212198,57459,15542,4177,1147,337,93,34,13,3,3,3,1,1
1046,8983904,2722555,768768,212744,57601,15664,4243,1156,337,92,28,14,3,3,3,1,1
1047,8982257,2722737,768012,212745,57757,15650,4188,1124,329,87,26,12,3,3,3,1,1
1048,8980464,2721828,768956,212563,57685,15579,4203,1134,314,81,25,11,2,2,2,1,1
1049,8977749,2723067,768545,212443,57652,15557,4187,1152,340,91,31,14,2,2,2,1,1
1050,8977003,2721283,768599,212598,57795,15603,4163,1113,328,92,30,12,2,2,2,1,1
1051,8973240,2721702,768931,213245,57949,15729,4264,1128,336,87,30,13,2,2,2,1,0
1052,8969897,2722499,769640,213017,57950,15634,4217,1135,342,95,30,14,2,1,1,0,0
1053,8965716,2723722,770210,213323,57863,15722,4236,1144,344,97,31,14,1,1,1,0,0
1054,8964273,2722783,770081,213491,58065,15699,4256,1156,341,91,31,13,2,2,2,0,0
1055,8961725,2722765,770588,213587,57927,15732,4272,1154,343,90,28,9,2,2,2,0,0
1056,8960191,2722192,770575,213608,57853,15768,4268,1153,323,86,30,11,1,1,1,0,0
1057,8958668,2720983,771088,213826,57945,15701,4250,1133,331,89,33,12,1,1,1,0,0
1058,8954617,2722654,771103,213835,57971,15777,4242,1132,335,92,30,10,1,1,0,0,0
1059,8951330,2722787,771594,214221,58257,15772,4239,1137,332,93,28,12,1,1,0,0,0
1060,8947865,2723224,772066,214579,58238,15794,4278,1143,330,89,29,12,2,2,0,0,0
1061,8947497,2722205,771562,214361,58226,15816,4255,1131,316,81,27,11,1,1,0,0,0
1062,8944898,2722809,771731,214200,58257,15755,4230,1124,323,93,32,13,1,1,0,0,0
1063,8942090,2722483,772149,214747,58277,15798,4206,1121,319,87,29,12,1,1,0,0,0
1064,8938938,2721060,773050,215412,58717,15997,4291,1168,332,91,31,9,2,2,0,0,0
1065,8937800,2722229,772064,214838,58391,15815,4310,1161,315,88,27,11,1,1,0,0,0
1066,8934356,2722296,772982,215023,58507,15846,4335,1185,341,86,24,10,1,1,0,0,0
1067,8931159,2722340,773549,215194,58598,15977,4365,1196,334,91,27,13,1,1,0,0,0
1068,8930167,2721539,773336,215067,58661,15904,4332,1170,325,88,27,11,2,2,0,0,0
1069,8927063,2722361,773079,215346,58747,15960,4317,1156,322,82,25,10,1,1,0,0,0
1070,8924319,2722227,773887,215334,58737,15924,4307,1173,337,92,27,11,1,1,0,0,0
