k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
11,12860,95743,1,1,1,0,0,0
11,13015,96899,1,1,1,0,0,0
11,13016,96899,1,1,1,0,0,0
11,13284,98900,1,1,1,0,0,0
11,14066,104720,1,1,1,0,0,0
11,14399,107199,1,1,1,0,0,0
11,14597,108674,1,1,1,0,0,0
11,15542,115709,1,1,1,0,0,0
11,15840,117924,1,1,1,0,0,0
11,18100,134757,1,1,1,0,0,0
11,18869,140480,1,1,1,0,0,0
11,19342,144000,1,1,1,0,0,0
11,21364,159057,1,1,1,0,0,0
11,21792,162239,0,1,0,0,0,0
11,23124,172160,1,1,1,0,0,0
11,24207,180224,1,0,0,0,0,0
11,24242,180480,1,1,1,0,0,0
11,25338,188649,0,1,0,0,0,0
11,25339,188649,0,1,0,0,0,0
11,26122,194480,0,1,0,0,0,0
11,26265,195545,1,1,1,0,0,0
11,28372,211232,1,1,1,0,0,0
11,28608,212992,1,1,1,0,0,0
11,29204,217424,1,1,1,0,0,0
11,30637,228095,0,1,0,0,0,0
11,33495,249374,1,1,1,0,0,0
11,35033,260831,1,1,1,0,0,0
11,35034,260831,1,1,1,0,0,0
11,35704,265824,0,1,0,0,0,0
11,38318,285285,1,1,1,0,0,0
11,39263,292320,1,1,1,0,0,0
11,40309,300104,1,1,1,0,0,0
11,41872,311750,1,1,1,0,0,0
11,41873,311750,1,1,1,0,0,0
11,42943,319724,1,1,1,0,0,0
11,42944,319724,1,1,1,0,0,0
11,43349,322739,1,1,1,0,0,0
11,45148,336139,0,1,0,0,0,0
11,45149,336139,0,1,0,0,0,0
11,47902,356641,1,1,1,0,0,0
11,51447,383039,1,1,1,0,0,0
11,51448,383039,1,1,1,0,0,0
11,51789,385584,1,1,1,0,0,0
11,51790,385584,1,1,1,0,0,0
11,53463,398046,1,1,1,0,0,0
11,56271,418950,1,1,1,0,0,0
11,57621,429000,1,1,1,0,0,0
11,58092,432512,1,1,1,0,0,0
11,58093,432512,1,1,1,0,0,0
11,58556,435968,1,1,1,0,0,0
11,58557,435968,1,1,1,0,0,0
11,61238,455935,1,1,1,0,0,0
