k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
10,238,1599,1,1,1,0,0,0
10,239,1599,1,1,1,0,0,0
10,246,1650,1,1,1,0,0,0
10,253,1700,1,1,1,1,1,1
10,253,1701,0,1,0,0,0,0
10,254,1700,0,1,0,0,1,0
10,254,1701,0,1,0,0,0,0
10,256,1715,1,0,0,0,0,0
10,258,1728,1,1,1,0,0,0
10,265,1781,1,1,1,0,0,0
10,266,1780,1,1,1,1,1,1
10,277,1862,1,0,0,0,0,0
10,280,1880,1,1,1,0,0,0
10,310,2079,1,1,1,0,0,0
10,337,2260,1,1,1,0,0,0
10,357,2400,1,0,0,0,0,0
10,358,2400,1,0,0,0,0,0
10,372,2499,1,0,0,0,0,0
10,435,2925,1,1,1,0,0,0
10,436,2925,1,1,1,0,0,0
10,455,3059,1,1,1,0,0,0
10,456,3059,1,1,1,0,0,0
10,467,3135,1,0,0,0,0,0
10,469,3149,1,1,1,0,0,0
10,477,3200,1,1,1,0,0,0
10,503,3380,1,1,1,0,0,0
10,506,3399,1,1,1,0,0,0
10,511,3430,1,0,0,0,0,0
10,524,3519,1,1,1,0,0,0
10,609,4095,1,1,1,0,0,0
10,610,4095,0,1,0,0,0,0
10,690,4640,1,1,1,0,0,0
10,696,4674,1,1,1,0,0,0
10,809,5439,1,0,0,0,0,0
10,810,5439,1,1,1,0,0,0
10,851,5719,1,1,1,0,0,0
10,934,6279,1,1,1,0,0,0
10,935,6279,1,1,1,0,0,0
10,940,6320,1,0,0,0,0,0
10,941,6320,1,0,0,0,0,0
10,976,6560,0,1,0,0,0,0
10,982,6600,1,1,1,0,0,0
10,1030,6919,1,1,1,0,0,0
10,1066,7168,0,1,0,0,0,0
10,1067,7168,1,1,1,0,0,0
10,1074,7220,1,1,1,0,0,0
10,1119,7524,1,1,1,0,0,0
10,1216,8177,1,1,1,0,0,0
10,1217,8177,1,1,1,0,0,0
10,1268,8525,1,1,1,0,0,0
10,1333,8960,1,1,1,0,0,0
10,1385,9309,1,1,1,0,0,0
10,1626,10934,0,1,0,0,0,0
10,1627,10934,0,1,0,0,0,0
10,1644,11049,1,1,1,0,0,0
10,1734,11655,1,1,1,0,0,0
10,1989,13376,1,0,0,0,0,0
10,1990,13376,1,0,0,0,0,0
10,2142,14405,1,0,0,0,0,0
10,2143,14405,1,0,0,0,0,0
10,2179,14651,1,0,0,0,0,0
10,2271,15264,1,1,1,0,0,0
10,2671,17954,1,1,1,0,0,0
10,3893,26179,1,1,1,0,0,0
10,3894,26179,1,1,1,0,0,0
10,3903,26243,0,1,0,0,0,0
10,4369,29375,1,1,1,0,0,0
10,5025,33792,0,1,0,0,0,0
10,5026,33792,0,1,0,0,0,0
10,5242,35244,1,1,1,0,0,0
10,5713,38415,1,0,0,0,0,0
10,7219,48545,1,1,1,0,0,0
10,8223,55296,1,1,1,0,0,0
10,8600,57834,0,1,0,0,0,0
10,8601,57834,1,1,1,0,0,0
10,11242,75600,1,1,1,0,0,0
10,11382,76544,0,1,0,0,0,0
10,11383,76544,0,1,0,0,0,0
10,11454,77024,1,1,1,0,0,0
10,11692,78624,1,1,1,0,0,0
10,11925,80189,0,1,0,0,0,0
10,14666,98623,1,1,1,0,0,0
10,15658,105300,1,0,0,0,0,0
10,17495,117648,1,0,0,0,0,0
10,22213,149379,1,1,1,0,0,0
10,22705,152684,1,0,0,0,0,0
10,22869,153791,1,1,1,0,0,0
10,24908,167504,1,1,1,0,0,0
10,28910,194415,1,1,1,0,0,0
10,29710,199800,1,1,1,0,0,0
10,29711,199800,1,1,1,0,0,0
10,31003,208494,0,1,0,0,0,0
10,31004,208494,0,1,0,0,0,0
10,33226,223445,1,1,1,0,0,0
10,33227,223445,1,1,1,0,0,0
10,38362,257984,1,1,1,0,0,0
10,38363,257984,1,1,1,0,0,0
10,38981,262143,0,1,0,0,0,0
10,42364,284895,1,1,1,0,0,0
10,44604,299956,1,1,1,0,0,0
10,51121,343785,1,1,1,0,0,0
10,51817,348464,1,1,1,0,0,0
10,55818,375375,1,1,1,0,0,0
10,57560,387090,1,1,1,0,0,0
10,61380,412775,1,0,0,0,0,0
10,65271,438944,1,1,1,0,0,0
10,69273,465855,1,1,1,0,0,0
10,101068,679679,1,0,0,0,0,0
10,112373,755711,0,1,0,0,0,0
10,179736,1208720,1,1,1,0,0,0
10,303393,2040324,1,1,1,0,0,0
10,303394,2040324,1,1,1,0,0,0
10,779279,5240664,1,1,1,0,0,0
10,816435,5490540,1,1,1,0,0,0
10,878277,5906432,0,1,0,0,0,0
10,878278,5906432,0,1,0,0,0,0
10,1267091,8521215,0,1,0,0,0,0
10,1390473,9350964,1,1,1,0,0,0
10,1390474,9350964,1,0,0,0,0,0
10,1415475,9519103,0,1,0,0,0,0
10,1415476,9519103,0,1,0,0,0,0
10,1579835,10624424,1,0,0,0,0,0
10,2917334,19619138,1,1,1,0,0,0
10,3563070,23961728,1,1,1,0,0,0
10,4830575,32485725,1,1,1,0,0,0
10,9671983,65044314,1,1,1,0,0,0
10,12984122,87318527,0,1,0,0,0,0
10,20491322,137804624,1,1,1,0,0,0
10,24736240,166351800,1,1,1,0,0,0
10,25587881,172079104,0,1,0,0,0,0
10,45235035,304206694,1,1,1,0,0,0
10,51958286,349420715,1,0,0,0,0,0
10,77563955,521619455,0,1,0,0,0,0
10,77563956,521619455,0,1,0,0,0,0
10,297462421,2000441904,1,0,0,0,0,0
