# regions: k[3001,6500]xN[2,1e7] + k[16,6500]xN[1e7+1,3e7]; npoints=145762074292 degenerate=34539342 ambig=20
k,ff1,ff2,ff3,ff4,ff5,ff6,ff7,ff8,ff9,ff10,ff11,ff12,ff13,ff14,ff15,ff16,ff17,ff18,none
85,26583744,1012903,27141,565,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,26571615,1025111,28165,643,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,26522118,1073531,30353,709,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,26564184,1034139,28871,654,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,26528872,1068844,30618,629,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,26524608,1073915,30822,707,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,26501725,1096685,31947,771,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,26502739,1096141,32471,804,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,26480416,1117666,34270,828,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,26461031,1137229,34984,931,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,26430449,1166246,37379,1095,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,26412531,1184814,37719,1055,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,26435646,1163447,36970,976,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,26426099,1173025,37875,959,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,26418281,1181599,37971,1019,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,26396447,1202572,39670,1044,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,26373561,1223867,41918,1256,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,26373287,1225960,41062,1141,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,26382151,1216371,42559,1197,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,26302711,1290633,48135,1590,40,1,2,0,0,0,0,0,0,0,0,0,0,0,0
105,26343779,1254531,44291,1284,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,26333740,1264751,44804,1376,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,26275342,1319728,48818,1539,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,26290673,1305546,48445,1521,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,26264775,1329648,50740,1723,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0
110,26260334,1335062,50653,1596,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
