k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
9,239,1434,1,1,1,0,0,0
9,251,1505,1,1,1,0,0,0
9,284,1700,0,1,0,0,0,0
9,286,1715,1,1,1,0,0,0
9,295,1770,1,1,1,0,0,0
9,336,2015,1,1,1,0,0,0
9,338,2024,1,1,1,0,0,0
9,347,2079,1,1,1,0,0,0
9,372,2232,1,1,1,0,0,0
9,400,2400,1,0,0,0,0,0
9,401,2405,1,1,1,0,0,0
9,449,2694,1,1,1,0,0,0
9,456,2736,1,1,1,0,0,0
9,466,2795,1,1,1,0,0,0
9,488,2925,1,1,1,0,0,0
9,491,2945,1,1,1,0,0,0
9,526,3156,1,1,1,0,0,0
9,531,3185,1,1,1,0,0,0
9,575,3450,1,1,1,0,0,0
9,586,3515,1,1,1,0,0,0
9,681,4085,1,1,1,0,0,0
9,682,4095,0,1,0,0,0,0
9,683,4095,0,1,0,0,0,0
9,694,4164,1,1,1,0,0,0
9,776,4655,1,1,1,0,0,0
9,778,4668,1,1,1,0,0,0
9,779,4674,1,1,1,0,0,0
9,813,4878,1,1,1,0,0,0
9,939,5634,1,1,1,0,0,0
9,956,5735,1,1,1,0,0,0
9,1020,6125,1,0,0,0,0,0
9,1054,6324,1,1,1,0,0,0
9,1100,6600,1,1,1,0,0,0
9,1110,6665,1,1,1,0,0,0
9,1111,6665,1,1,1,0,0,0
9,1184,7104,1,1,1,0,0,0
9,1265,7595,1,0,0,0,0,0
9,1266,7595,1,1,1,0,0,0
9,1288,7734,1,1,1,0,0,0
9,1325,7955,1,1,1,0,0,0
9,1326,7955,1,1,1,0,0,0
9,1328,7974,1,1,1,0,0,0
9,1329,7974,1,1,1,0,0,0
9,1387,8322,1,1,1,0,0,0
9,1428,8574,1,0,0,0,0,0
9,1429,8574,1,0,0,0,0,0
9,1440,8645,1,1,1,0,0,0
9,1444,8670,1,1,1,0,0,0
9,1510,9065,1,0,0,0,0,0
9,1526,9162,1,1,1,0,0,0
9,1527,9162,1,1,1,0,0,0
9,1628,9774,1,1,1,0,0,0
9,1743,10464,1,1,1,0,0,0
9,1755,10535,1,0,0,0,0,0
9,1895,11375,1,1,1,0,0,0
9,2000,12005,1,0,0,0,0,0
9,2053,12324,1,1,1,0,0,0
9,2065,12396,1,1,1,0,0,0
9,2198,13194,1,1,1,0,0,0
9,2244,13475,1,0,0,0,0,0
9,2349,14105,1,1,1,0,0,0
9,2350,14105,1,1,1,0,0,0
9,2547,15294,1,1,1,0,0,0
9,2603,15630,1,0,0,0,0,0
9,2604,15630,1,1,1,0,0,0
9,2653,15924,1,1,1,0,0,0
9,2769,16625,1,1,1,0,0,0
9,2778,16674,1,1,1,0,0,0
9,2783,16709,1,0,0,0,0,0
9,2799,16806,1,0,0,0,0,0
9,2800,16806,1,0,0,0,0,0
9,2804,16835,1,1,1,0,0,0
9,2834,17016,1,1,1,0,0,0
9,3142,18864,1,0,0,0,0,0
9,3168,19019,1,1,1,0,0,0
9,3191,19158,1,0,0,0,0,0
9,3212,19284,1,1,1,0,0,0
9,3322,19943,1,0,0,0,0,0
9,3433,20615,1,1,1,0,0,0
9,3434,20615,1,1,1,0,0,0
9,3468,20825,1,0,0,0,0,0
9,3497,20994,1,1,1,0,0,0
9,3582,21504,1,1,1,0,0,0
9,3713,22295,1,0,0,0,0,0
9,3714,22295,1,0,0,0,0,0
9,3834,23022,1,1,1,0,0,0
