k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
8,227,1196,1,1,1,0,0,0
8,232,1224,0,1,0,0,0,0
8,243,1280,1,0,0,0,0,0
8,276,1457,1,0,0,0,0,0
8,322,1700,1,1,1,0,0,0
8,335,1767,1,1,1,0,0,0
8,371,1960,1,1,1,0,0,0
8,384,2024,1,1,1,0,0,0
8,414,2184,1,1,1,0,0,0
8,450,2375,1,1,1,0,0,0
8,489,2583,1,1,1,0,0,0
8,490,2583,1,1,1,0,0,0
8,512,2700,0,1,0,0,0,0
8,521,2750,0,1,0,0,0,0
8,554,2924,1,1,1,0,0,0
8,592,3128,1,1,1,0,0,0
8,593,3128,1,1,1,0,0,0
8,719,3800,1,1,1,0,0,0
8,720,3800,1,1,1,0,0,0
8,775,4095,1,0,0,0,0,0
8,776,4095,1,0,0,0,0,0
8,792,4179,1,1,1,0,0,0
8,871,4599,1,1,1,0,0,0
8,1676,8855,1,0,0,0,0,0
8,1744,9215,1,0,0,0,0,0
8,1956,10335,1,1,1,0,0,0
8,2437,12879,1,0,0,0,0,0
8,2438,12879,1,0,0,0,0,0
8,2620,13845,1,1,1,0,0,0
8,2713,14336,1,0,0,0,0,0
8,3433,18144,1,0,0,0,0,0
8,3434,18144,1,1,1,0,0,0
8,4292,22680,1,1,1,0,0,0
8,4552,24056,1,0,0,0,0,0
8,4920,26000,1,0,0,0,0,0
8,6252,33040,1,1,1,0,0,0
8,7308,38624,0,1,0,0,0,0
8,7309,38624,0,1,0,0,0,0
8,8138,43010,1,0,0,0,0,0
8,8139,43010,1,0,0,0,0,0
8,8212,43400,0,1,0,0,0,0
8,9058,47871,1,0,0,0,0,0
8,9840,52002,1,0,0,0,0,0
8,10172,53760,1,1,1,0,0,0
8,10254,54188,1,1,1,0,0,0
8,10437,55160,1,0,0,0,0,0
8,11117,58751,1,0,0,0,0,0
8,12132,64120,1,1,1,0,0,0
8,12315,65087,1,1,1,0,0,0
8,12316,65087,1,1,1,0,0,0
8,15311,80919,1,0,0,0,0,0
8,15652,82719,1,1,1,0,0,0
8,23541,124415,1,0,0,0,0,0
8,30493,161160,1,1,1,0,0,0
8,38625,204135,1,1,1,0,0,0
8,39997,211392,1,1,1,0,0,0
8,41390,218750,0,1,0,0,0,0
8,70525,372735,1,0,0,0,0,0
8,84410,446124,0,1,0,0,0,0
8,181712,960384,1,1,1,0,0,0
8,222541,1176174,1,1,1,0,0,0
8,238000,1257879,1,1,1,0,0,0
8,285476,1508800,0,1,0,0,0,0
8,562395,2972375,1,0,0,0,0,0
8,675116,3568130,1,0,0,0,0,0
8,4183603,22111231,1,0,0,0,0,0
