k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
7,229,1044,1,1,1,0,0,0
7,267,1215,1,1,1,0,0,0
7,270,1232,1,1,1,0,0,0
7,271,1232,1,1,1,0,0,0
7,274,1250,1,0,0,0,0,0
7,275,1250,1,0,0,0,0,0
7,302,1375,1,0,0,1,0,0
7,318,1449,1,0,0,0,0,0
7,330,1503,0,1,0,0,0,0
7,373,1700,1,1,1,0,0,0
7,393,1791,0,1,0,0,0,0
7,416,1899,1,1,1,0,0,0
7,417,1899,1,0,0,0,0,0
7,456,2079,1,1,1,0,0,0
7,490,2232,1,1,1,0,0,0
7,579,2639,1,1,1,0,0,0
7,624,2849,1,1,1,0,0,0
7,625,2849,1,1,1,0,0,0
7,897,4095,0,1,0,0,0,0
7,1230,5616,1,1,1,0,0,0
7,1231,5616,1,1,1,0,0,0
7,1311,5985,1,1,1,0,0,0
7,1922,8774,1,1,1,0,0,0
7,2191,10000,1,0,0,0,0,0
7,2990,13650,1,1,1,0,0,0
7,3970,18125,1,0,0,0,0,0
7,5202,23749,1,0,0,0,0,0
7,6103,27863,1,1,1,0,0,0
7,6348,28980,1,1,1,0,0,0
7,8027,36645,1,1,1,0,0,0
7,11033,50374,1,0,0,0,0,0
7,16765,76544,1,1,1,0,0,0
7,24492,111825,1,0,0,0,0,0
7,24639,112499,1,0,0,0,0,0
7,57133,260865,1,1,1,0,0,0
7,66327,302840,1,1,1,0,0,0
7,153543,701063,1,1,1,0,0,0
7,215042,981863,1,1,1,0,0,0
7,406219,1854761,1,1,1,0,0,0
