k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
15,223,2299,1,0,0,0,0,0
15,223,2300,1,1,1,0,0,0
15,223,2303,1,1,1,0,0,0
15,224,2300,1,1,1,0,0,0
15,224,2303,1,1,1,0,0,0
15,228,2349,1,1,1,0,0,0
15,231,2379,1,1,1,0,0,0
15,235,2418,1,1,1,1,1,1
15,235,2419,1,1,1,0,0,0
15,236,2430,1,1,1,1,1,1
15,236,2431,1,1,1,0,0,0
15,238,2448,1,1,1,1,1,1
15,242,2499,1,1,1,1,1,1
15,243,2499,1,1,1,1,1,1
15,243,2500,1,1,1,0,0,0
15,244,2510,1,1,1,0,0,0
15,246,2540,1,0,0,1,0,0
15,247,2540,1,0,0,1,0,0
15,247,2541,1,0,0,0,0,0
15,248,2552,1,1,1,0,0,0
15,256,2639,1,1,1,0,0,0
15,265,2736,1,1,1,0,0,0
15,266,2736,1,1,1,0,0,0
15,274,2820,1,1,1,0,0,0
15,274,2829,1,1,1,0,0,0
15,275,2829,1,1,1,0,0,0
15,278,2870,1,1,1,0,0,0
15,279,2870,1,1,1,0,0,0
15,282,2910,1,1,1,1,1,1
15,282,2911,1,1,1,0,0,0
15,283,2910,1,1,1,1,1,1
15,283,2911,1,1,1,0,0,0
15,284,2925,1,1,1,0,0,0
15,292,3009,1,1,1,0,0,0
15,293,3024,1,0,0,0,0,0
15,294,3024,1,0,0,0,0,0
15,297,3059,1,1,1,0,0,0
15,298,3069,1,1,1,0,0,0
15,302,3110,1,1,1,0,0,0
15,304,3130,1,1,1,0,0,0
15,304,3135,1,1,1,0,0,0
15,306,3159,1,1,1,0,0,0
15,307,3159,1,1,1,0,0,0
15,310,3192,1,1,1,0,0,0
15,312,3210,1,1,1,0,0,0
15,314,3239,1,1,1,0,0,0
15,319,3289,1,1,1,0,0,0
15,322,3320,1,1,1,0,0,0
15,326,3366,1,1,1,0,0,0
15,327,3366,1,1,1,0,0,0
15,334,3440,1,1,1,0,0,0
15,335,3450,1,1,1,0,0,0
15,340,3509,1,1,1,0,0,0
15,341,3509,1,1,1,0,0,0
15,348,3590,1,1,1,0,0,0
15,351,3620,1,1,1,0,0,0
15,361,3723,1,1,1,0,0,0
15,362,3730,1,1,1,0,0,0
15,364,3750,1,1,1,0,0,0
15,369,3807,1,1,1,0,0,0
15,374,3860,1,1,1,0,0,0
15,375,3860,1,1,1,0,0,0
15,377,3887,1,1,1,0,0,0
15,385,3969,1,1,1,0,0,0
15,391,4029,1,1,1,0,0,0
15,394,4060,1,1,1,0,0,0
15,397,4095,1,1,1,0,0,0
15,400,4130,1,1,1,0,0,0
15,401,4130,1,1,1,0,0,0
15,401,4140,1,1,1,0,0,0
15,402,4140,1,1,1,0,0,0
15,407,4199,1,1,1,0,0,0
15,409,4223,1,1,1,0,0,0
15,410,4223,1,1,1,0,0,0
15,420,4330,1,1,1,0,0,0
15,424,4370,1,1,1,0,0,0
15,424,4374,1,1,1,0,0,0
15,426,4389,1,1,1,0,0,0
15,433,4459,1,1,1,0,0,0
15,441,4550,1,1,1,0,0,0
15,450,4640,1,1,1,0,0,0
15,454,4680,1,1,1,0,0,0
15,467,4823,1,1,1,0,0,0
15,468,4823,1,1,1,0,0,0
15,473,4875,1,1,1,0,0,0
15,493,5082,1,1,1,1,1,1
15,493,5083,1,1,1,0,0,0
15,499,5151,1,1,1,0,0,0
15,500,5151,1,1,1,0,0,0
15,510,5264,1,1,1,0,0,0
15,511,5264,1,1,1,0,0,0
15,513,5291,1,1,1,0,0,0
15,526,5427,1,1,1,0,0,0
15,545,5624,1,1,1,0,0,0
15,547,5642,1,1,1,0,0,0
15,551,5687,1,0,0,0,0,0
15,575,5928,1,0,0,0,0,0
15,589,6075,1,1,1,0,0,0
15,597,6160,1,1,1,0,0,0
15,606,6250,0,1,0,0,0,0
15,608,6272,1,1,1,0,0,0
15,610,6292,1,0,0,0,0,0
15,620,6399,1,1,1,0,0,0
15,626,6460,1,1,1,0,0,0
15,637,6578,1,1,1,0,0,0
15,638,6578,1,1,1,0,0,0
15,644,6642,1,1,1,0,0,0
15,645,6655,1,0,0,0,0,0
15,646,6664,1,1,1,0,0,0
15,651,6720,1,1,1,0,0,0
15,652,6720,1,1,1,0,0,0
15,662,6831,1,1,1,0,0,0
15,670,6912,1,1,1,0,0,0
15,689,7104,1,1,1,0,0,0
15,709,7315,1,1,1,0,0,0
15,719,7424,1,1,1,0,0,0
15,720,7424,1,1,1,0,0,0
15,727,7503,1,1,1,0,0,0
15,729,7524,1,1,1,0,0,0
15,736,7599,1,1,1,0,0,0
15,737,7599,1,1,1,0,0,0
15,742,7656,1,1,1,0,0,0
15,746,7700,1,1,1,0,0,0
15,760,7847,1,1,1,0,0,0
15,766,7904,1,1,1,0,0,0
15,771,7954,1,1,1,1,1,1
15,771,7955,1,1,1,0,0,0
15,776,8007,1,1,1,0,0,0
15,842,8694,1,1,1,0,0,0
15,843,8694,1,1,1,0,0,0
15,850,8774,1,1,1,0,0,0
15,863,8910,1,1,1,0,0,0
15,864,8910,1,1,1,0,0,0
15,865,8924,1,1,1,0,0,0
15,886,9144,1,1,1,0,0,0
15,918,9476,1,1,1,0,0,0
15,937,9675,1,1,1,0,0,0
15,938,9675,1,1,1,0,0,0
15,949,9800,1,0,0,0,0,0
15,949,9801,1,0,0,0,0,0
15,950,9800,1,0,0,1,0,0
15,950,9801,1,0,0,0,0,0
15,979,10105,1,1,1,0,0,0
15,983,10149,1,1,1,0,0,0
15,983,10152,1,1,1,0,0,0
15,984,10149,1,1,1,0,0,0
15,984,10152,1,1,1,0,0,0
15,1001,10335,1,1,1,0,0,0
15,1002,10335,1,1,1,0,0,0
15,1007,10395,1,1,1,0,0,0
15,1011,10439,1,1,1,0,0,0
15,1012,10439,1,1,1,0,0,0
15,1018,10506,1,1,1,0,0,0
15,1029,10625,0,1,0,0,0,0
15,1030,10625,0,1,0,0,0,0
15,1053,10864,1,1,1,0,0,0
15,1054,10880,1,1,1,0,0,0
15,1059,10934,1,1,1,0,0,0
15,1060,10934,1,1,1,0,0,0
15,1064,10988,1,1,1,0,0,0
15,1065,10988,1,1,1,0,0,0
15,1069,11039,1,1,1,0,0,0
15,1070,11039,1,1,1,0,0,0
15,1095,11304,1,1,1,0,0,0
15,1098,11339,1,1,1,0,0,0
15,1099,11339,1,1,1,0,0,0
15,1102,11375,1,1,1,0,0,0
15,1104,11395,1,1,1,0,0,0
15,1108,11438,1,1,1,1,1,1
15,1114,11500,1,1,1,0,0,0
15,1136,11725,1,1,1,0,0,0
15,1150,11868,1,1,1,0,0,0
15,1199,12375,1,1,1,0,0,0
15,1234,12740,1,1,1,0,0,0
15,1237,12771,1,1,1,0,0,0
15,1239,12788,1,1,1,0,0,0
15,1263,13034,1,1,1,0,0,0
15,1264,13050,1,1,1,0,0,0
15,1265,13064,1,1,1,0,0,0
15,1268,13090,1,1,1,0,0,0
15,1288,13299,1,1,1,0,0,0
15,1289,13299,1,1,1,0,0,0
15,1301,13432,1,1,1,0,0,0
15,1339,13824,1,1,1,0,0,0
15,1348,13915,1,0,0,0,0,0
15,1386,14308,1,1,1,0,0,0
15,1390,14352,1,1,1,0,0,0
15,1392,14364,1,1,1,0,0,0
15,1426,14719,1,1,1,0,0,0
15,1434,14800,1,1,1,0,0,0
15,1462,15092,1,1,1,0,0,0
15,1505,15539,1,1,1,0,0,0
15,1507,15561,1,1,1,0,0,0
15,1513,15624,0,1,0,0,0,0
15,1514,15624,0,1,0,0,0,0
15,1666,17199,1,1,1,0,0,0
15,1666,17204,1,1,1,0,0,0
15,1676,17302,1,0,0,0,0,0
15,1699,17545,1,0,0,0,0,0
15,1746,18031,1,1,1,0,0,0
15,1747,18031,1,1,1,0,0,0
15,1766,18239,1,1,1,1,1,1
15,1767,18239,1,1,1,1,1,1
15,1767,18240,1,1,1,0,0,0
15,1822,18816,1,1,1,0,0,0
15,1890,19512,1,1,1,0,0,0
15,1917,19795,1,1,1,0,0,0
15,1918,19795,1,1,1,0,0,0
15,1922,19844,1,1,1,0,0,0
15,1934,19965,1,1,1,0,0,0
15,2011,20769,1,1,1,0,0,0
15,2014,20800,1,1,1,0,0,0
15,2074,21420,1,1,1,0,0,0
15,2083,21504,1,1,1,0,0,0
15,2105,21735,1,1,1,0,0,0
15,2120,21888,1,1,1,0,0,0
15,2322,23975,1,1,1,0,0,0
15,2401,24794,1,1,1,0,0,0
15,2402,24794,1,1,1,0,0,0
15,2424,25024,1,1,1,0,0,0
15,2461,25415,1,1,1,0,0,0
15,2479,25599,1,1,1,0,0,0
15,2484,25650,1,1,1,1,0,0
15,2484,25651,1,1,1,0,0,0
15,2485,25651,1,1,1,0,0,0
15,2559,26424,1,1,1,0,0,0
15,2581,26649,1,1,1,0,0,0
15,2611,26961,1,1,1,0,0,0
15,2653,27390,1,1,1,0,0,0
15,2707,27950,1,0,0,0,0,0
15,2828,29204,1,1,1,0,0,0
15,2829,29204,1,1,1,0,0,0
15,2915,30099,1,1,1,1,1,1
15,2942,30380,1,1,1,0,0,0
15,2991,30888,1,1,1,0,0,0
15,3000,30975,1,0,0,0,0,0
15,3005,31031,1,1,1,0,0,0
15,3130,32319,1,1,1,0,0,0
15,3277,33839,1,1,1,0,0,0
15,3297,34047,1,1,1,0,0,0
15,3371,34815,1,1,1,0,0,0
15,3372,34815,1,1,1,0,0,0
15,3378,34874,1,1,1,0,0,0
15,3435,35475,1,1,1,0,0,0
15,3436,35475,1,1,1,0,0,0
15,3468,35815,1,0,0,0,0,0
15,3469,35815,1,0,0,0,0,0
15,3564,36800,1,1,1,0,0,0
15,3773,38961,1,1,1,0,0,0
15,3779,39025,1,1,1,0,0,0
15,3818,39424,1,1,1,0,0,0
15,3910,40375,1,1,1,0,0,0
15,3967,40963,1,1,1,0,0,0
15,3995,41249,1,1,1,0,0,0
15,4024,41552,1,1,1,0,0,0
15,4031,41624,1,0,0,0,0,0
15,4074,42075,1,1,1,0,0,0
15,4075,42075,1,1,1,0,0,0
15,4314,44550,1,1,1,0,0,0
15,4400,45440,1,1,1,0,0,0
15,4401,45440,1,1,1,0,0,0
15,4453,45980,1,1,1,0,0,0
15,4684,48374,1,1,1,0,0,0
15,4685,48374,1,1,1,0,0,0
15,4706,48600,1,1,1,0,0,0
15,4707,48600,1,1,1,0,0,0
15,4769,49247,1,0,0,0,0,0
15,4875,50336,1,0,0,0,0,0
15,5082,52479,1,1,1,0,0,0
15,5106,52724,1,1,1,0,0,0
15,5132,53000,1,1,1,0,0,0
15,5133,53000,1,1,1,0,0,0
15,5200,53703,1,1,1,0,0,0
15,5201,53703,1,1,1,0,0,0
15,5241,54119,1,1,1,0,0,0
15,5326,54999,1,1,1,0,0,0
15,5416,55935,1,1,1,0,0,0
15,5542,57232,1,0,0,0,0,0
15,5671,58564,1,0,0,1,0,0
15,5671,58565,1,1,1,0,0,0
15,5713,58995,1,1,1,0,0,0
15,5760,59487,1,1,1,0,0,0
15,5762,59500,1,1,1,0,0,0
15,5768,59565,1,1,1,0,0,0
15,5885,60775,1,1,1,0,0,0
15,5940,61347,1,1,1,0,0,0
15,5941,61347,1,0,0,0,0,0
15,5959,61544,1,1,1,0,0,0
15,5960,61544,1,1,1,0,0,0
15,6396,66044,1,1,1,0,0,0
15,6485,66975,1,1,1,0,0,0
15,6486,66975,1,1,1,0,0,0
15,6567,67815,1,1,1,0,0,0
