k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
13,6022,53504,1,1,1,0,0,0
13,6320,56160,1,1,1,0,0,0
13,6344,56375,1,1,1,0,0,0
13,6345,56375,1,1,1,0,0,0
13,6491,57681,1,1,1,0,0,0
13,6492,57681,1,1,1,0,0,0
13,6645,59048,1,0,0,0,0,0
13,6646,59048,1,0,0,0,0,0
13,7059,62720,1,1,1,0,0,0
13,7087,62975,1,1,1,0,0,0
13,7088,62975,1,1,1,0,0,0
13,7216,64124,1,1,1,0,0,0
13,7253,64448,1,1,1,0,0,0
13,7824,69524,1,1,1,0,0,0
13,7864,69874,1,1,1,0,0,0
13,7934,70499,1,1,1,0,0,0
13,8200,72864,1,1,1,0,0,0
13,8390,74555,1,1,1,0,0,0
13,8391,74555,1,1,1,0,0,0
13,8614,76544,1,1,1,0,0,0
13,9363,83200,1,1,1,0,0,0
13,9451,83979,1,1,1,0,0,0
13,9453,83996,1,1,1,0,0,0
13,10064,89424,1,1,1,0,0,0
13,10235,90944,1,1,1,0,0,0
13,10736,95403,1,1,1,0,0,0
13,10737,95403,1,1,1,0,0,0
13,11130,98900,1,1,1,0,0,0
13,11224,99735,1,1,1,0,0,0
13,11279,100223,1,1,1,0,0,0
13,11396,101269,1,1,1,0,0,0
13,11533,102485,1,1,1,0,0,0
13,11813,104975,1,0,0,0,0,0
13,11814,104975,1,0,0,0,0,0
13,11927,105984,1,1,1,0,0,0
13,12442,110564,1,1,1,0,0,0
13,12443,110564,1,1,1,0,0,0
13,12944,115024,1,1,1,0,0,0
13,13076,116193,1,1,1,0,0,0
13,13578,120649,1,1,1,0,0,0
13,14205,126224,1,1,1,0,0,0
13,14315,127205,1,1,1,0,0,0
13,14635,130052,1,1,1,0,0,0
13,14636,130052,1,1,1,0,0,0
13,15400,136850,1,1,1,0,0,0
13,16007,142241,1,1,1,0,0,0
13,16455,146223,1,1,1,0,0,0
13,16539,146964,1,1,1,0,0,0
13,17167,152550,1,1,1,0,0,0
13,17168,152550,1,1,1,0,0,0
13,18012,160055,1,1,1,0,0,0
13,18610,165375,1,1,1,0,0,0
13,18899,167936,0,1,0,0,0,0
13,19014,168960,1,1,1,0,0,0
13,20281,180224,0,1,0,0,0,0
13,20282,180224,1,1,1,0,0,0
13,20374,181049,1,1,1,0,0,0
13,20375,181049,1,1,1,0,0,0
13,20900,185724,1,1,1,0,0,0
13,20901,185724,1,1,1,0,0,0
13,21193,188325,1,1,1,0,0,0
13,22484,199800,1,1,1,0,0,0
13,22485,199800,1,1,1,0,0,0
13,22511,200031,1,1,1,0,0,0
13,22981,204215,1,1,1,0,0,0
13,24150,214599,1,1,1,0,0,0
13,24800,220374,1,1,1,0,0,0
13,25595,227447,1,1,1,0,0,0
13,25596,227447,1,1,1,0,0,0
13,26931,239316,1,1,1,0,0,0
13,27412,243593,1,1,1,0,0,0
13,28491,253175,1,1,1,0,0,0
13,28990,257606,1,1,1,0,0,0
13,29436,261579,1,1,1,0,0,0
13,29853,265282,1,1,1,0,0,0
13,31065,276045,1,1,1,0,0,0
13,31805,282624,1,1,1,0,0,0
13,32260,286671,1,1,1,0,0,0
13,32733,290870,1,0,0,0,0,0
13,32942,292733,1,1,1,0,0,0
13,32943,292733,1,1,1,0,0,0
13,33880,301069,1,1,1,0,0,0
13,34330,305064,1,1,1,0,0,0
13,34540,306935,1,1,1,0,0,0
13,35291,313599,1,1,1,0,0,0
13,35717,317394,1,1,1,0,0,0
13,35718,317394,1,1,1,0,0,0
13,40084,356201,1,1,1,0,0,0
13,46451,412775,1,1,1,0,0,0
13,48544,431375,1,1,1,0,0,0
13,50248,446522,1,1,1,0,0,0
13,50336,447299,1,1,1,0,0,0
13,50688,450424,1,1,1,0,0,0
13,51132,454376,1,1,1,0,0,0
13,53836,478400,1,1,1,0,0,0
